root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.787414 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257488:257524, ack 145, win 501, length 36
20:32:01.787454 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257524:257664, ack 145, win 501, length 140
20:32:01.787490 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257664:257700, ack 145, win 501, length 36
20:32:01.787534 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257700:257840, ack 145, win 501, length 140
20:32:01.787568 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257840:257876, ack 145, win 501, length 36
20:32:01.787608 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 257876:258016, ack 145, win 501, length 140
20:32:01.787643 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258016:258052, ack 145, win 501, length 36
20:32:01.787685 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258052:258208, ack 145, win 501, length 156
20:32:01.787720 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258208:258244, ack 145, win 501, length 36
20:32:01.787760 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258244:258400, ack 145, win 501, length 156
20:32:01.787795 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258400:258436, ack 145, win 501, length 36
20:32:01.787837 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258436:258592, ack 145, win 501, length 156
20:32:01.787921 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258592:258628, ack 145, win 501, length 36
20:32:01.787968 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258628:258784, ack 145, win 501, length 156
20:32:01.788005 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258784:258820, ack 145, win 501, length 36
20:32:01.788046 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258820:258976, ack 145, win 501, length 156
20:32:01.788081 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 258976:259012, ack 145, win 501, length 36
20:32:01.788121 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259012:259168, ack 145, win 501, length 156
20:32:01.788186 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259168:259360, ack 145, win 501, length 192
20:32:01.788266 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259360:259588, ack 145, win 501, length 228
20:32:01.788311 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259588:259744, ack 145, win 501, length 156
20:32:01.788364 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259744:259780, ack 145, win 501, length 36
20:32:01.788466 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259780:259936, ack 145, win 501, length 156
20:32:01.788535 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259936:259972, ack 145, win 501, length 36
20:32:01.788606 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 259972:260128, ack 145, win 501, length 156
20:32:01.788675 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260128:260164, ack 145, win 501, length 36
20:32:01.788744 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260164:260320, ack 145, win 501, length 156
20:32:01.788810 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260320:260356, ack 145, win 501, length 36
20:32:01.788879 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260356:260512, ack 145, win 501, length 156
20:32:01.788933 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260512:260548, ack 145, win 501, length 36
20:32:01.788998 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260548:260704, ack 145, win 501, length 156
20:32:01.789059 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260704:260740, ack 145, win 501, length 36
20:32:01.789127 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260740:260896, ack 145, win 501, length 156
20:32:01.789166 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260896:260932, ack 145, win 501, length 36
20:32:01.789241 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 260932:261088, ack 145, win 501, length 156
20:32:01.789307 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 261088:261124, ack 145, win 501, length 36
20:32:01.789375 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 261124:261280, ack 145, win 501, length 156
20:32:01.789437 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 261280:261316, ack 145, win 501, length 36
20:32:01.789478 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 261316:261472, ack 145, win 501, length 156
20:32:01.790234 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 259012, win 512, length 0
20:32:01.790259 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 261472:264544, ack 145, win 501, length 3072
20:32:01.790322 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 264544:264580, ack 145, win 501, length 36
20:32:01.790342 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 264580:264736, ack 145, win 501, length 156
20:32:01.790469 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 264736:265156, ack 145, win 501, length 420
20:32:01.790479 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 260128, win 508, length 0
20:32:01.790517 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265156:265312, ack 145, win 501, length 156
20:32:01.790574 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265312:265348, ack 145, win 501, length 36
20:32:01.790593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265348:265504, ack 145, win 501, length 156
20:32:01.790642 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265504:265540, ack 145, win 501, length 36
20:32:01.790667 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265540:265696, ack 145, win 501, length 156
20:32:01.790701 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265696:265732, ack 145, win 501, length 36
20:32:01.790742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265732:265888, ack 145, win 501, length 156
20:32:01.790817 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265888:265924, ack 145, win 501, length 36
20:32:01.790882 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 265924:266080, ack 145, win 501, length 156
20:32:01.790916 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266080:266116, ack 145, win 501, length 36
20:32:01.790959 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266116:266272, ack 145, win 501, length 156
20:32:01.790993 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266272:266308, ack 145, win 501, length 36
20:32:01.791034 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266308:266448, ack 145, win 501, length 140
20:32:01.791068 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266448:266484, ack 145, win 501, length 36
20:32:01.791110 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266484:266640, ack 145, win 501, length 156
20:32:01.791145 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266640:266676, ack 145, win 501, length 36
20:32:01.791184 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266676:266832, ack 145, win 501, length 156
20:32:01.791218 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266832:266868, ack 145, win 501, length 36
20:32:01.791258 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 266868:267024, ack 145, win 501, length 156
20:32:01.791294 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267024:267060, ack 145, win 501, length 36
20:32:01.791334 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267060:267216, ack 145, win 501, length 156
20:32:01.791513 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267216:267252, ack 145, win 501, length 36
20:32:01.791558 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267252:267392, ack 145, win 501, length 140
20:32:01.791593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267392:267428, ack 145, win 501, length 36
20:32:01.792994 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 260740, win 512, length 0
20:32:01.792995 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 261472, win 510, length 0
20:32:01.792995 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 265696, win 512, length 0
20:32:01.793047 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 267428:271784, ack 145, win 501, length 4356
20:32:01.793171 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 266676, win 509, length 0
20:32:01.793207 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 271784:271924, ack 145, win 501, length 140
20:32:01.793262 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 271924:271960, ack 145, win 501, length 36
20:32:01.793311 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 271960:272100, ack 145, win 501, length 140
20:32:01.793364 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 272100:272136, ack 145, win 501, length 36
20:32:01.793407 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 272136:272276, ack 145, win 501, length 140
20:32:01.793744 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 272276:273324, ack 145, win 501, length 1048
20:32:01.793868 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 273324:273480, ack 145, win 501, length 156
20:32:01.793908 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 273480:273516, ack 145, win 501, length 36
20:32:01.793964 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 273516:273672, ack 145, win 501, length 156
20:32:01.794204 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 273672:273956, ack 145, win 501, length 284
20:32:01.794265 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 273956:274112, ack 145, win 501, length 156
20:32:01.794316 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274112:274268, ack 145, win 501, length 156
20:32:01.794364 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274268:274424, ack 145, win 501, length 156
20:32:01.794415 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274424:274580, ack 145, win 501, length 156
20:32:01.794487 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274580:274736, ack 145, win 501, length 156
20:32:01.794541 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274736:274892, ack 145, win 501, length 156
20:32:01.794591 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 274892:275048, ack 145, win 501, length 156
20:32:01.794640 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275048:275204, ack 145, win 501, length 156
20:32:01.794688 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275204:275360, ack 145, win 501, length 156
20:32:01.794740 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275360:275516, ack 145, win 501, length 156
20:32:01.794762 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 267428, win 512, length 0
20:32:01.794864 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275516:275776, ack 145, win 501, length 260
20:32:01.794918 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275776:275932, ack 145, win 501, length 156
20:32:01.794967 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 275932:276088, ack 145, win 501, length 156
20:32:01.795029 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276088:276244, ack 145, win 501, length 156
20:32:01.795068 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 270028, win 512, length 0
20:32:01.795091 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276244:276400, ack 145, win 501, length 156
20:32:01.795151 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276400:276660, ack 145, win 501, length 260
20:32:01.795201 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276660:276816, ack 145, win 501, length 156
20:32:01.795254 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276816:276972, ack 145, win 501, length 156
20:32:01.795304 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 276972:277128, ack 145, win 501, length 156
20:32:01.795355 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277128:277284, ack 145, win 501, length 156
20:32:01.795451 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277284:277440, ack 145, win 501, length 156
20:32:01.795515 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277440:277596, ack 145, win 501, length 156
20:32:01.795569 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277596:277752, ack 145, win 501, length 156
20:32:01.795719 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277752:277908, ack 145, win 501, length 156
20:32:01.795854 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 277908:278064, ack 145, win 501, length 156
20:32:01.795922 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278064:278220, ack 145, win 501, length 156
20:32:01.795977 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278220:278376, ack 145, win 501, length 156
20:32:01.796122 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278376:278532, ack 145, win 501, length 156
20:32:01.796215 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278532:278688, ack 145, win 501, length 156
20:32:01.796271 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278688:278844, ack 145, win 501, length 156
20:32:01.796320 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 278844:279000, ack 145, win 501, length 156
20:32:01.796451 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279000:279156, ack 145, win 501, length 156
20:32:01.796494 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 272100, win 512, length 0
20:32:01.796547 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279156:279416, ack 145, win 501, length 260
20:32:01.796604 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279416:279572, ack 145, win 501, length 156
20:32:01.796652 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279572:279728, ack 145, win 501, length 156
20:32:01.796704 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279728:279884, ack 145, win 501, length 156
20:32:01.796772 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 279884:280040, ack 145, win 501, length 156
20:32:01.796829 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280040:280196, ack 145, win 501, length 156
20:32:01.797257 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 274892, win 512, length 0
20:32:01.797292 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280196:280352, ack 145, win 501, length 156
20:32:01.797397 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280352:280612, ack 145, win 501, length 260
20:32:01.797544 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280612:280768, ack 145, win 501, length 156
20:32:01.797649 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280768:280924, ack 145, win 501, length 156
20:32:01.797707 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 280924:281080, ack 145, win 501, length 156
20:32:01.797761 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281080:281236, ack 145, win 501, length 156
20:32:01.797813 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281236:281392, ack 145, win 501, length 156
20:32:01.797865 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281392:281548, ack 145, win 501, length 156
20:32:01.797919 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281548:281704, ack 145, win 501, length 156
20:32:01.798246 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281704:281860, ack 145, win 501, length 156
20:32:01.798477 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 275776, win 509, length 0
20:32:01.798517 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 281860:282016, ack 145, win 501, length 156
20:32:01.798651 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 282016:282276, ack 145, win 501, length 260
20:32:01.798712 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 282276:282432, ack 145, win 501, length 156
20:32:01.798760 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 282432:282588, ack 145, win 501, length 156
20:32:01.798805 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 276660, win 512, length 0
20:32:01.798879 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 282588:282848, ack 145, win 501, length 260
20:32:01.798930 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 282848:283004, ack 145, win 501, length 156
20:32:01.798981 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283004:283160, ack 145, win 501, length 156
20:32:01.799032 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283160:283316, ack 145, win 501, length 156
20:32:01.799081 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283316:283472, ack 145, win 501, length 156
20:32:01.799205 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283472:283628, ack 145, win 501, length 156
20:32:01.799292 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283628:283784, ack 145, win 501, length 156
20:32:01.799373 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283784:283940, ack 145, win 501, length 156
20:32:01.799435 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 283940:284096, ack 145, win 501, length 156
20:32:01.799524 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 277440, win 509, length 0
20:32:01.799563 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284096:284252, ack 145, win 501, length 156
20:32:01.799647 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284252:284512, ack 145, win 501, length 260
20:32:01.799713 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284512:284668, ack 145, win 501, length 156
20:32:01.799764 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284668:284824, ack 145, win 501, length 156
20:32:01.799815 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284824:284980, ack 145, win 501, length 156
20:32:01.800371 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 278220, win 512, length 0
20:32:01.800425 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 284980:285136, ack 145, win 501, length 156
20:32:01.800555 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 285136:285396, ack 145, win 501, length 260
20:32:01.800687 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 279156, win 509, length 0
20:32:01.800702 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 285396:285552, ack 145, win 501, length 156
20:32:01.800770 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 285552:285812, ack 145, win 501, length 260
20:32:01.800823 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 285812:285968, ack 145, win 501, length 156
20:32:01.800872 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 285968:286124, ack 145, win 501, length 156
20:32:01.800920 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286124:286280, ack 145, win 501, length 156
20:32:01.800966 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286280:286436, ack 145, win 501, length 156
20:32:01.801013 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286436:286592, ack 145, win 501, length 156
20:32:01.801058 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286592:286748, ack 145, win 501, length 156
20:32:01.801104 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286748:286904, ack 145, win 501, length 156
20:32:01.803108 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 283628, win 512, length 0
20:32:01.803109 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 283940, win 511, length 0
20:32:01.803172 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 286904:287060, ack 145, win 501, length 156
20:32:01.803344 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 287060:287424, ack 145, win 501, length 364
20:32:01.804151 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 286592, win 512, length 0
20:32:01.804151 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 286904, win 511, length 0
20:32:01.804213 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 287424:287580, ack 145, win 501, length 156
20:32:01.804385 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 287580:287944, ack 145, win 501, length 364
20:32:01.804446 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 287944:288100, ack 145, win 501, length 156
20:32:01.804519 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288100:288256, ack 145, win 501, length 156
20:32:01.804578 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288256:288412, ack 145, win 501, length 156
20:32:01.804631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288412:288568, ack 145, win 501, length 156
20:32:01.804687 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288568:288724, ack 145, win 501, length 156
20:32:01.804742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288724:288880, ack 145, win 501, length 156
20:32:01.805007 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288880:289036, ack 145, win 501, length 156
20:32:01.805072 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289036:289192, ack 145, win 501, length 156
20:32:01.805128 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289192:289348, ack 145, win 501, length 156
20:32:01.805182 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289348:289504, ack 145, win 501, length 156
20:32:01.805373 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289504:289660, ack 145, win 501, length 156
20:32:01.805799 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289660:289816, ack 145, win 501, length 156
20:32:01.805866 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289816:289972, ack 145, win 501, length 156
20:32:01.806268 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 289972:290128, ack 145, win 501, length 156
20:32:01.806379 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 290128:290284, ack 145, win 501, length 156
20:32:01.806504 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 290284:290440, ack 145, win 501, length 156
20:32:01.806629 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 287580, win 509, length 0
20:32:01.806664 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 290440:290596, ack 145, win 501, length 156
20:32:01.806748 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 290596:290856, ack 145, win 501, length 260
20:32:01.806807 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 290856:291012, ack 145, win 501, length 156
20:32:01.806888 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291012:291168, ack 145, win 501, length 156
20:32:01.806948 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 288880, win 512, length 0
20:32:01.806959 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291168:291324, ack 145, win 501, length 156
20:32:01.807035 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291324:291584, ack 145, win 501, length 260
20:32:01.807089 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291584:291740, ack 145, win 501, length 156
20:32:01.807142 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291740:291896, ack 145, win 501, length 156
20:32:01.807193 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 291896:292052, ack 145, win 501, length 156
20:32:01.807248 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292052:292208, ack 145, win 501, length 156
20:32:01.807322 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292208:292364, ack 145, win 501, length 156
20:32:01.807546 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292364:292520, ack 145, win 501, length 156
20:32:01.807734 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292520:292676, ack 145, win 501, length 156
20:32:01.807794 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292676:292832, ack 145, win 501, length 156
20:32:01.807851 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292832:292988, ack 145, win 501, length 156
20:32:01.807920 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 292988:293144, ack 145, win 501, length 156
20:32:01.807976 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 293144:293300, ack 145, win 501, length 156
20:32:01.808045 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 293300:293456, ack 145, win 501, length 156
20:32:01.808171 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 293456:293612, ack 145, win 501, length 156
20:32:01.808195 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 289660, win 509, length 0
20:32:01.808266 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 293612:293872, ack 145, win 501, length 260
20:32:01.808324 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 293872:294028, ack 145, win 501, length 156
20:32:01.808386 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 294028:294184, ack 145, win 501, length 156
