root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.217639 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288328:288492, ack 145, win 501, length 164
20:32:36.217685 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288492:288656, ack 145, win 501, length 164
20:32:36.217730 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288656:288820, ack 145, win 501, length 164
20:32:36.217776 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288820:288984, ack 145, win 501, length 164
20:32:36.217897 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288984:289148, ack 145, win 501, length 164
20:32:36.217947 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 289148:289312, ack 145, win 501, length 164
20:32:36.218073 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 281544, win 512, length 0
20:32:36.218088 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 289312:289476, ack 145, win 501, length 164
20:32:36.218153 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 289476:289752, ack 145, win 501, length 276
20:32:36.218202 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 289752:289916, ack 145, win 501, length 164
20:32:36.218248 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 289916:290080, ack 145, win 501, length 164
20:32:36.218294 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 290080:290244, ack 145, win 501, length 164
20:32:36.218340 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 290244:290408, ack 145, win 501, length 164
20:32:36.218355 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 284332, win 512, length 0
20:32:36.218548 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 290408:290684, ack 145, win 501, length 276
20:32:36.218612 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 290684:290848, ack 145, win 501, length 164
20:32:36.218658 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 290848:291012, ack 145, win 501, length 164
20:32:36.218704 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291012:291176, ack 145, win 501, length 164
20:32:36.218750 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291176:291340, ack 145, win 501, length 164
20:32:36.218871 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291340:291504, ack 145, win 501, length 164
20:32:36.218921 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291504:291668, ack 145, win 501, length 164
20:32:36.218967 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291668:291832, ack 145, win 501, length 164
20:32:36.219013 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291832:291996, ack 145, win 501, length 164
20:32:36.219058 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 291996:292160, ack 145, win 501, length 164
20:32:36.219105 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292160:292324, ack 145, win 501, length 164
20:32:36.219152 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292324:292488, ack 145, win 501, length 164
20:32:36.219199 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292488:292652, ack 145, win 501, length 164
20:32:36.219245 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292652:292816, ack 145, win 501, length 164
20:32:36.219291 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292816:292980, ack 145, win 501, length 164
20:32:36.219337 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 292980:293144, ack 145, win 501, length 164
20:32:36.219382 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 293144:293308, ack 145, win 501, length 164
20:32:36.219427 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 293308:293472, ack 145, win 501, length 164
20:32:36.219473 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 293472:293636, ack 145, win 501, length 164
20:32:36.221350 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 286032, win 512, length 0
20:32:36.221350 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 289916, win 512, length 0
20:32:36.221350 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 292324, win 512, length 0
20:32:36.221350 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 293636, win 512, length 0
20:32:36.221418 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 293636:293800, ack 145, win 501, length 164
20:32:36.221647 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 293800:294396, ack 145, win 501, length 596
20:32:36.221709 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 294396:294560, ack 145, win 501, length 164
20:32:36.221830 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 294560:294724, ack 145, win 501, length 164
20:32:36.221959 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 294724:294888, ack 145, win 501, length 164
20:32:36.222030 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 294888:295052, ack 145, win 501, length 164
20:32:36.222089 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295052:295216, ack 145, win 501, length 164
20:32:36.222207 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295216:295380, ack 145, win 501, length 164
20:32:36.222264 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295380:295544, ack 145, win 501, length 164
20:32:36.222336 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295544:295708, ack 145, win 501, length 164
20:32:36.222388 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295708:295872, ack 145, win 501, length 164
20:32:36.222663 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 295872:296036, ack 145, win 501, length 164
20:32:36.222721 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296036:296200, ack 145, win 501, length 164
20:32:36.222777 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296200:296364, ack 145, win 501, length 164
20:32:36.222830 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296364:296528, ack 145, win 501, length 164
20:32:36.222902 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296528:296692, ack 145, win 501, length 164
20:32:36.222955 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296692:296856, ack 145, win 501, length 164
20:32:36.223007 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 296856:297020, ack 145, win 501, length 164
20:32:36.223059 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297020:297184, ack 145, win 501, length 164
20:32:36.223111 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297184:297348, ack 145, win 501, length 164
20:32:36.223163 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297348:297512, ack 145, win 501, length 164
20:32:36.223216 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297512:297676, ack 145, win 501, length 164
20:32:36.223266 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297676:297840, ack 145, win 501, length 164
20:32:36.223317 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 297840:298004, ack 145, win 501, length 164
20:32:36.223370 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298004:298168, ack 145, win 501, length 164
20:32:36.223422 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298168:298332, ack 145, win 501, length 164
20:32:36.223474 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298332:298496, ack 145, win 501, length 164
20:32:36.223525 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298496:298660, ack 145, win 501, length 164
20:32:36.223575 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298660:298824, ack 145, win 501, length 164
20:32:36.223627 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298824:298988, ack 145, win 501, length 164
20:32:36.223650 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 294560, win 509, length 0
20:32:36.223731 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 298988:299264, ack 145, win 501, length 276
20:32:36.223791 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 299264:299428, ack 145, win 501, length 164
20:32:36.223845 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 299428:299592, ack 145, win 501, length 164
20:32:36.223898 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 299592:299756, ack 145, win 501, length 164
20:32:36.223949 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 299756:299920, ack 145, win 501, length 164
20:32:36.223990 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 299920:300084, ack 145, win 501, length 164
20:32:36.224029 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300084:300248, ack 145, win 501, length 164
20:32:36.224067 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300248:300412, ack 145, win 501, length 164
20:32:36.224104 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300412:300576, ack 145, win 501, length 164
20:32:36.224160 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300576:300740, ack 145, win 501, length 164
20:32:36.224238 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300740:300904, ack 145, win 501, length 164
20:32:36.224281 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 300904:301068, ack 145, win 501, length 164
20:32:36.224320 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301068:301232, ack 145, win 501, length 164
20:32:36.224374 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301232:301396, ack 145, win 501, length 164
20:32:36.224415 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301396:301560, ack 145, win 501, length 164
20:32:36.224454 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301560:301724, ack 145, win 501, length 164
20:32:36.224492 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301724:301888, ack 145, win 501, length 164
20:32:36.224529 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 301888:302052, ack 145, win 501, length 164
20:32:36.224567 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302052:302216, ack 145, win 501, length 164
20:32:36.224605 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302216:302380, ack 145, win 501, length 164
20:32:36.224903 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302380:302544, ack 145, win 501, length 164
20:32:36.224980 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302544:302708, ack 145, win 501, length 164
20:32:36.225023 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302708:302872, ack 145, win 501, length 164
20:32:36.225062 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 302872:303036, ack 145, win 501, length 164
20:32:36.225100 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 303036:303200, ack 145, win 501, length 164
20:32:36.225140 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 303200:303364, ack 145, win 501, length 164
20:32:36.225185 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 303364:303528, ack 145, win 501, length 164
20:32:36.227010 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 295216, win 512, length 0
20:32:36.227011 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 295872, win 510, length 0
20:32:36.227011 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 297840, win 512, length 0
20:32:36.227011 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 301232, win 512, length 0
20:32:36.227068 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 303528:303692, ack 145, win 501, length 164
20:32:36.227118 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 301724, win 510, length 0
20:32:36.227118 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [P.], seq 145:181, ack 301724, win 510, length 36
20:32:36.227118 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 303528, win 512, length 0
20:32:36.227328 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 303692:304624, ack 181, win 501, length 932
20:32:36.227373 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 304624:304788, ack 181, win 501, length 164
20:32:36.227411 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 304788:304952, ack 181, win 501, length 164
20:32:36.227448 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 304952:305116, ack 181, win 501, length 164
20:32:36.227484 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305116:305280, ack 181, win 501, length 164
20:32:36.227521 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305280:305444, ack 181, win 501, length 164
20:32:36.227558 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305444:305608, ack 181, win 501, length 164
20:32:36.227594 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305608:305772, ack 181, win 501, length 164
20:32:36.227634 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305772:305936, ack 181, win 501, length 164
20:32:36.227686 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 305936:306100, ack 181, win 501, length 164
20:32:36.227735 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306100:306264, ack 181, win 501, length 164
20:32:36.227786 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306264:306428, ack 181, win 501, length 164
20:32:36.227864 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306428:306592, ack 181, win 501, length 164
20:32:36.227906 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306592:306756, ack 181, win 501, length 164
20:32:36.227943 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306756:306920, ack 181, win 501, length 164
20:32:36.227985 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 306920:307084, ack 181, win 501, length 164
20:32:36.228036 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307084:307248, ack 181, win 501, length 164
20:32:36.228079 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307248:307412, ack 181, win 501, length 164
20:32:36.228136 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307412:307576, ack 181, win 501, length 164
20:32:36.228179 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307576:307740, ack 181, win 501, length 164
20:32:36.228234 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307740:307904, ack 181, win 501, length 164
20:32:36.228275 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 307904:308068, ack 181, win 501, length 164
20:32:36.228322 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308068:308232, ack 181, win 501, length 164
20:32:36.228372 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308232:308396, ack 181, win 501, length 164
20:32:36.228563 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308396:308560, ack 181, win 501, length 164
20:32:36.228624 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308560:308724, ack 181, win 501, length 164
20:32:36.228674 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308724:308888, ack 181, win 501, length 164
20:32:36.228742 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 308888:309052, ack 181, win 501, length 164
20:32:36.228813 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309052:309216, ack 181, win 501, length 164
20:32:36.228881 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309216:309380, ack 181, win 501, length 164
20:32:36.228933 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309380:309544, ack 181, win 501, length 164
20:32:36.228975 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309544:309708, ack 181, win 501, length 164
20:32:36.229016 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309708:309872, ack 181, win 501, length 164
20:32:36.229062 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 309872:310036, ack 181, win 501, length 164
20:32:36.229099 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310036:310200, ack 181, win 501, length 164
20:32:36.229145 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310200:310364, ack 181, win 501, length 164
20:32:36.229187 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310364:310528, ack 181, win 501, length 164
20:32:36.229229 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310528:310692, ack 181, win 501, length 164
20:32:36.229281 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310692:310856, ack 181, win 501, length 164
20:32:36.229328 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 310856:311020, ack 181, win 501, length 164
20:32:36.229392 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311020:311184, ack 181, win 501, length 164
20:32:36.229436 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311184:311348, ack 181, win 501, length 164
20:32:36.229486 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311348:311512, ack 181, win 501, length 164
20:32:36.229551 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311512:311676, ack 181, win 501, length 164
20:32:36.229595 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311676:311840, ack 181, win 501, length 164
20:32:36.229633 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 311840:312004, ack 181, win 501, length 164
20:32:36.229671 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312004:312168, ack 181, win 501, length 164
20:32:36.229708 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312168:312332, ack 181, win 501, length 164
20:32:36.229803 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312332:312496, ack 181, win 501, length 164
20:32:36.229825 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 306100, win 512, length 0
20:32:36.229909 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312496:312772, ack 181, win 501, length 276
20:32:36.229963 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312772:312936, ack 181, win 501, length 164
20:32:36.230008 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 312936:313100, ack 181, win 501, length 164
20:32:36.230058 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 313100:313264, ack 181, win 501, length 164
20:32:36.230113 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 313264:313428, ack 181, win 501, length 164
20:32:36.230155 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 313428:313592, ack 181, win 501, length 164
20:32:36.230198 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 313592:313756, ack 181, win 501, length 164
20:32:36.230237 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 307740, win 512, length 0
20:32:36.230289 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 313756:314032, ack 181, win 501, length 276
20:32:36.230330 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314032:314196, ack 181, win 501, length 164
20:32:36.230549 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314196:314360, ack 181, win 501, length 164
20:32:36.230637 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314360:314524, ack 181, win 501, length 164
20:32:36.230691 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314524:314688, ack 181, win 501, length 164
20:32:36.230738 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314688:314852, ack 181, win 501, length 164
20:32:36.230786 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 314852:315016, ack 181, win 501, length 164
20:32:36.230834 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315016:315180, ack 181, win 501, length 164
20:32:36.230900 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315180:315344, ack 181, win 501, length 164
20:32:36.230945 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315344:315508, ack 181, win 501, length 164
20:32:36.230984 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315508:315672, ack 181, win 501, length 164
20:32:36.231032 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315672:315836, ack 181, win 501, length 164
20:32:36.231070 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 315836:316000, ack 181, win 501, length 164
20:32:36.231107 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316000:316164, ack 181, win 501, length 164
20:32:36.231144 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316164:316328, ack 181, win 501, length 164
20:32:36.231180 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316328:316492, ack 181, win 501, length 164
20:32:36.231219 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316492:316656, ack 181, win 501, length 164
20:32:36.231271 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316656:316820, ack 181, win 501, length 164
20:32:36.231692 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 309052, win 512, length 0
20:32:36.231724 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316820:316984, ack 181, win 501, length 164
20:32:36.231823 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 316984:317260, ack 181, win 501, length 276
20:32:36.231877 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 317260:317424, ack 181, win 501, length 164
20:32:36.231930 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 317424:317588, ack 181, win 501, length 164
20:32:36.232045 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 317588:317752, ack 181, win 501, length 164
20:32:36.232111 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 317752:317916, ack 181, win 501, length 164
20:32:36.232165 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 317916:318080, ack 181, win 501, length 164
20:32:36.232262 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 318080:318244, ack 181, win 501, length 164
20:32:36.232559 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 312496, win 512, length 0
20:32:36.232577 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 318244:318408, ack 181, win 501, length 164
20:32:36.232634 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 318408:318684, ack 181, win 501, length 276
20:32:36.232674 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 318684:318848, ack 181, win 501, length 164
20:32:36.232710 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 318848:319012, ack 181, win 501, length 164
20:32:36.232747 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319012:319176, ack 181, win 501, length 164
20:32:36.232783 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319176:319340, ack 181, win 501, length 164
20:32:36.232864 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319340:319504, ack 181, win 501, length 164
20:32:36.232904 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319504:319668, ack 181, win 501, length 164
20:32:36.232940 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319668:319832, ack 181, win 501, length 164
20:32:36.232976 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319832:319996, ack 181, win 501, length 164
20:32:36.233012 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 319996:320160, ack 181, win 501, length 164
20:32:36.233048 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320160:320324, ack 181, win 501, length 164
20:32:36.233084 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320324:320488, ack 181, win 501, length 164
20:32:36.233121 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320488:320652, ack 181, win 501, length 164
20:32:36.233157 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320652:320816, ack 181, win 501, length 164
20:32:36.233193 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320816:320980, ack 181, win 501, length 164
20:32:36.233229 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 320980:321144, ack 181, win 501, length 164
20:32:36.233269 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 321144:321308, ack 181, win 501, length 164
20:32:36.233305 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 321308:321472, ack 181, win 501, length 164
20:32:36.233342 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 321472:321636, ack 181, win 501, length 164
20:32:36.233378 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 321636:321800, ack 181, win 501, length 164
20:32:36.235873 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 314360, win 512, length 0
